action_id,report_id,type,name,id,start,end
1336,21,watching channel,STAR BHARAT,52,1.51027E+12,1.51027E+12
1337,21,watching channel,B4U watching movieS,54,1.51027E+12,1.51027E+12
1338,21,watching channel,B4U listening to music,56,1.51027E+12,1.51027E+12
1339,21,watching channel,UTV watching movieS,58,1.51027E+12,1.51027E+12
1340,21,watching channel,BINDASS PLAY,59,1.51027E+12,1.51027E+12
1341,21,watching channel,MTV INDIA,60,1.51027E+12,1.51027E+12
1342,22,watching channel,STAR PLUS HD,4,1.5103E+12,1.5103E+12
1343,22,watching channel,STAR PLUS IND,5,1.5103E+12,1.5103E+12
1344,22,watching channel,STAR PLUS EU,6,1.5103E+12,1.5103E+12
1345,22,watching channel,STAR UTSAV,7,1.5103E+12,1.5103E+12
1346,22,watching channel,COLORS HD,8,1.5103E+12,1.5103E+12
1347,22,watching channel,COLORS IND,9,1.5103E+12,1.5103E+12
1348,22,watching channel,COLORS UK,10,1.5103E+12,1.5103E+12
1349,22,watching channel,SONY TV HD,12,1.5103E+12,1.5103E+12
1350,22,watching channel,SONY TV IND,13,1.5103E+12,1.5103E+12
1351,22,watching channel,SONY TV UK,14,1.5103E+12,1.5103E+12
1352,22,watching channel,SONY MIX,15,1.5103E+12,1.5103E+12
1353,22,watching channel,SONY SAB,17,1.5103E+12,1.5103E+12
1354,22,watching channel,SONY MIX,15,1.5103E+12,1.5103E+12
1355,22,watching channel,SONY TV UK,14,1.5103E+12,1.5103E+12
1356,22,watching channel,SONY TV IND,13,1.5103E+12,1.5103E+12
1357,22,watching channel,SONY TV HD,12,1.5103E+12,1.5103E+12
1358,22,watching channel,COLORS UK,10,1.5103E+12,1.5103E+12
1359,22,watching channel,COLORS IND,9,1.5103E+12,1.5103E+12
1360,22,watching channel,COLORS HD,8,1.5103E+12,1.5103E+12
1361,22,watching channel,STAR UTSAV,7,1.5103E+12,1.5103E+12
1362,22,watching channel,COLORS HD,8,1.5103E+12,1.5103E+12
1363,22,watching channel,COLORS IND,9,1.5103E+12,1.5103E+12
1364,22,watching channel,COLORS HD,8,1.5103E+12,1.5103E+12
1365,22,watching channel,STAR UTSAV,7,1.5103E+12,1.5103E+12
1366,22,watching channel,STAR PLUS EU,6,1.5103E+12,1.5103E+12
1367,22,watching channel,STAR PLUS IND,5,1.5103E+12,1.5103E+12
1368,22,watching channel,STAR PLUS EU,6,1.5103E+12,1.5103E+12
1369,22,watching channel,STAR UTSAV,7,1.5103E+12,1.5103E+12
1370,22,watching channel,COLORS HD,8,1.5103E+12,1.5103E+12
1371,22,watching channel,COLORS IND,9,1.5103E+12,1.5103E+12
1372,22,watching channel,COLORS UK,10,1.5103E+12,1.5103E+12
1373,22,watching channel,COLORS IND,9,1.5103E+12,1.5103E+12
1374,22,watching channel,COLORS HD,8,1.5103E+12,1.5103E+12
1375,22,watching channel,COLORS IND,9,1.5103E+12,1.5103E+12
1376,22,watching channel,COLORS HD,8,1.5103E+12,1.5103E+12
1377,22,watching channel,COLORS IND,9,1.5103E+12,1.5103E+12
1378,22,watching channel,COLORS HD,8,1.5103E+12,1.5103E+12
1379,22,watching channel,STAR UTSAV,7,1.5103E+12,1.5103E+12
1380,22,watching channel,COLORS HD,8,1.5103E+12,1.5103E+12
1381,22,watching channel,STAR UTSAV,7,1.5103E+12,1.5103E+12
1382,22,watching channel,COLORS HD,8,1.5103E+12,1.5103E+12
1383,22,watching channel,COLORS IND,9,1.5103E+12,1.5103E+12
1384,22,watching channel,COLORS UK,10,1.5103E+12,1.5103E+12
